Tema,Possibilidades,AVISO: NÃO USAR VIRGULA,,,,,,,,,,
Elementos,Água,Fogo,Vento,Terra,Gelo,Luz,,,,,,
Objetos da cozinha,Mesa,Cadeira,Fogão,Geladeira,Pia,Micro-ondas,,,,,,
Construções comerciais,Academia,Supermercado,Shopping,Loja,Restaurante,Banco,,,,,,
Frutas,Maçã,Uva,Melancia,Abacaxi,Banana,Morango,,,,,,
Tem no almoço,Arroz,Feijão,Frango,Macarrão,Verdura,Carne,,,,,,
Profissões,Engenheiro,Advogado,Arquiteto,Policial,Médico,Enfermeiro,Bombeiro,Vendedor,Professor,Garçom,Cozinheiro,Motorista
Estados do Brasil,São Paulo,Rio de Janeiro,Pernambuco,Mato Grosso,Minas Gerais,Bahia,,,,,,
Países,Estados Unidos,Argentina,Espanha,Portugal,África do Sul,China,Japão,Canadá,México,Chile,Egito,Austrália
Abriga pessoas,Casa,Apartamento,Condomínio,Hotel,Pousada,Quarto,,,,,,
Cômodos da casa,Quarto,Cozinha,Banheiro,Sala,Jardim,Garagem,,,,,,
Eletrônicos,Computador,Videogame,Televisão,Ventilador,Geladeira,Micro-ondas,,,,,,
Super-herois,Thor,Super Homem,Batman,Homem de ferro,Mulher Maravilha,Homem Aranha,,,,,,
Personagens de jogos,Mário,Sonic,Pikachu,Crash,Link,Donkey Kong,,,,,,
Personagens da disney,Mickey,Donald,Pateta,Pumba,Timão,Simba,,,,,,
Filmes da disney,Rei Leão,Aladdim,Bela e a Fera,Bambi,101 Dalmatas,Tarzan,,,,,,
Desenhos Hanna Barbera antigo,Flinstones,Jetsons,Scooby-Doo,Manda-Chuva,Zé Colmeia,A Família Addams,Jonny Bravo,A vaca e o Frango,Tutubarão,Laboratório de Dexter,Cavalo de Fogo,
Desenhos da nickelodeon,Rugrats,Doug,Castores Pirados,Hey Arnold,Bob Esponja,Padrinhos Mágicos,,,,,,
Filmes de Animação,Toy story,Procurando Nemo,Frozen,Os Incríveis,Monstros S.A.,Meu malvado favorito,,,,,,
Personagens do Looney Tunes,Pernalonga,Patolino,Piu Piu,Frajola,Papaleguas,Taz-Mania,,,,,,
Armas cortantes e perfurates,Espada,Lança,Machado,Arco,Besta,Faca,,,,,,
Armas de Fogo,Pistola,Metralhadora,Lança-Foguete,Espingarda,Rifle,Revolver,,,,,,
Esporte,Vôlei,Basquete,Futebol,Tênis,Natação,Atletismo,,,,,,
Personagens históricos,Rei Arthur,Joana Darc,Napoleão,Adolf Hitler,Dom Pedro I,Alexandre O Grande,,,,,,
Lendas de monstros,Monstro do lago Ness,Pé Grande,Chupa Cabra,Lobisomem,Vampiro,Ab. homem das neves,,,,,,
Pokemons,Pikachu,Charmander,Bulbasauro,Squirtle,Ratata,Pidgey,,,,,,
Animes,Dragonball,Samurai X,Pokemon,Inuyasha,Digimon,Cavaleiros do Zodiaco,,,,,,
Aves,Galinha,Cisne,Pato,Avestruz,Papagaio,Pombo,,,,,,
Mamiferos,Leão,Urso,Vaca,Girafa,Cavalo,Elefante,,,,,,
Animais marinhos,Golfinho,Baleia,Tubarão,Polvo,Lagosta,Camarão,,,,,,
Comida Típicas,Pizza,Sushi,Lasanha,Tortilha,Esfiha,Tacos,,,,,,
Acessórios,Anel,Brinco,Colar,Pulseira,Relógio,Cinto,,,,,,
Corpo Humano,Cabeça,Pé,Mão,Boca,Olho,Orelha,,,,,,
Fenomenos da natureza,Chuva,Neve,Terromoto,Eclipse,Tsunami,Erupção Vulcanica,,,,,,
Objetos usados em refeições,Prato,Colher,Garfo,Faca,Tigela,Panela,,,,,,
No espaço,Estrela,Planeta,Cometa,Satélite,Sol,Lua,,,,,,
Construções de lazer,Teatro,Praça,Cinema,Parque,Estádio,Zoológico,,,,,,
Peças de roupa,Calça,Saia,Camisa,Vestido,Jaqueta,Terno,,,,,,
Personagens de Dragon Ball,Gohan,Cell,Piccolo,Kuririn,Vegetta,Frieza,,,,,,
Rpgs classicos,Ragnarok,World of Warcraft,Tibia,Final Fantasy,Chrono Trigger,Secret of Mana,,,,,,
Bandas de rock,Foo Fighters,Greenday,Nirvana,Guns N roses,Queen,Linkin park,,,,,,
Franquias de video game,Megaman,Castlevania,Battlefield,GTA,Resident Evil,Counter Strike,,,,,,
Da natureza,Mar,Rio,Montanha,Vulcão,Floresta,Lago,,,,,,
Sobremesa,Brigadeiro,Pavê,Torta,Pudim,Mousse,Sorvete,,,,,,
Video game,Atari,Mega Drive,Super Nintendo,Playstation 1,Xbox 360,Game Boy,,,,,,
